feature_set,alpha,validation_r2_log
price_only,0.01,0.033903872223963405
price_only,0.1,0.03390376874706147
price_only,1.0,0.033902698289618005
price_only,10.0,0.03389185216204804
price_only,100.0,0.03376661374059997
price_only,1000.0,0.031695650251186924
price_only,10000.0,0.016193270350347788
axis_last_qwen25_ridge,0.01,-0.00033685397188865096
axis_last_qwen25_ridge,0.1,-0.00033685991779219826
axis_last_qwen25_ridge,1.0,-0.0003368578835287739
axis_last_qwen25_ridge,10.0,-0.00033688448710855745
axis_last_qwen25_ridge,100.0,-0.0003372121163700559
axis_last_qwen25_ridge,1000.0,-0.0003435155012558866
axis_last_qwen25_ridge,10000.0,-0.0003934929613449434
axis_last_qwen3_ridge,0.01,0.01840232009804499
axis_last_qwen3_ridge,0.1,0.018402134208648446
axis_last_qwen3_ridge,1.0,0.018400322700932503
axis_last_qwen3_ridge,10.0,0.01838206648303775
axis_last_qwen3_ridge,100.0,0.018196610730735863
axis_last_qwen3_ridge,1000.0,0.01625328445574259
axis_last_qwen3_ridge,10000.0,0.00672591083121632
axis_last_both_ridge,0.01,0.01855724771214473
axis_last_both_ridge,0.1,0.018557059295326805
axis_last_both_ridge,1.0,0.01855511352397987
axis_last_both_ridge,10.0,0.01853564599252766
axis_last_both_ridge,100.0,0.01833828051647801
axis_last_both_ridge,1000.0,0.016308238463154212
axis_last_both_ridge,10000.0,0.006725688553377074
axis_mean_qwen25_ridge,0.01,0.02031262720987914
axis_mean_qwen25_ridge,0.1,0.0203130727182681
axis_mean_qwen25_ridge,1.0,0.020317550910607163
axis_mean_qwen25_ridge,10.0,0.020361922891079853
axis_mean_qwen25_ridge,100.0,0.02076755919226858
axis_mean_qwen25_ridge,1000.0,0.022318322919224864
axis_mean_qwen25_ridge,10000.0,0.012342422843442336
axis_mean_qwen3_ridge,0.01,0.0015026442769262571
axis_mean_qwen3_ridge,0.1,0.0015026144220343651
axis_mean_qwen3_ridge,1.0,0.0015023234287643294
axis_mean_qwen3_ridge,10.0,0.0014994637043819203
axis_mean_qwen3_ridge,100.0,0.0014710408543668896
axis_mean_qwen3_ridge,1000.0,0.0012145353363542943
axis_mean_qwen3_ridge,10000.0,0.00022579467729932912
axis_mean_both_ridge,0.01,0.02146907865308212
axis_mean_both_ridge,0.1,0.02146950821909621
axis_mean_both_ridge,1.0,0.02147385554834047
axis_mean_both_ridge,10.0,0.021516980775391548
axis_mean_both_ridge,100.0,0.021910361394796185
axis_mean_both_ridge,1000.0,0.02335486467630432
axis_mean_both_ridge,10000.0,0.012886505450504071
price_plus_axis_last_qwen25,0.01,0.03398153762298528
price_plus_axis_last_qwen25,0.1,0.03398143182024105
price_plus_axis_last_qwen25,1.0,0.03398039775789541
price_plus_axis_last_qwen25,10.0,0.0339698740187091
price_plus_axis_last_qwen25,100.0,0.03384770618643962
price_plus_axis_last_qwen25,1000.0,0.03179019955424445
price_plus_axis_last_qwen25,10000.0,0.016242085606718915
price_plus_axis_last_qwen3,0.01,0.053188758041416095
price_plus_axis_last_qwen3,0.1,0.05318848028830203
price_plus_axis_last_qwen3,1.0,0.05318575004161685
price_plus_axis_last_qwen3,10.0,0.053158212741219346
price_plus_axis_last_qwen3,100.0,0.052861349930429125
price_plus_axis_last_qwen3,1000.0,0.04887306965499083
price_plus_axis_last_qwen3,10000.0,0.023486458819162892
price_plus_axis_last_both,0.01,0.05331891945146139
price_plus_axis_last_both,0.1,0.05331863180009422
price_plus_axis_last_both,1.0,0.05331575926730836
price_plus_axis_last_both,10.0,0.053286789007593316
price_plus_axis_last_both,100.0,0.05297618365879031
price_plus_axis_last_both,1000.0,0.048899308862869306
price_plus_axis_last_both,10000.0,0.023486535590722224
price_plus_axis_mean_qwen25,0.01,0.048710975320348515
price_plus_axis_mean_qwen25,0.1,0.048711209812372425
price_plus_axis_mean_qwen25,1.0,0.04871353432576342
price_plus_axis_mean_qwen25,10.0,0.04873632143068041
price_plus_axis_mean_qwen25,100.0,0.04892653768707944
price_plus_axis_mean_qwen25,1000.0,0.04847855576605009
price_plus_axis_mean_qwen25,10000.0,0.027365521183694397
price_plus_axis_mean_qwen3,0.01,0.04170695432878979
price_plus_axis_mean_qwen3,0.1,0.04170668585057158
price_plus_axis_mean_qwen3,1.0,0.041703892322568326
price_plus_axis_mean_qwen3,10.0,0.04167579715204284
price_plus_axis_mean_qwen3,100.0,0.041374806526908725
price_plus_axis_mean_qwen3,1000.0,0.03760787379673036
price_plus_axis_mean_qwen3,10000.0,0.017467686612178457
price_plus_axis_mean_both,0.01,0.05479149185420362
price_plus_axis_mean_both,0.1,0.05479154174386314
price_plus_axis_mean_both,1.0,0.05479205648290131
price_plus_axis_mean_both,10.0,0.05479679992433584
price_plus_axis_mean_both,100.0,0.05481012979263644
price_plus_axis_mean_both,1000.0,0.05295204701818246
price_plus_axis_mean_both,10000.0,0.028454978088957805
direct_qwen25_ridge,0.01,0.007285691381103909
direct_qwen25_ridge,0.1,0.007285929729336393
direct_qwen25_ridge,1.0,0.007288380381549664
direct_qwen25_ridge,10.0,0.007312699317426508
direct_qwen25_ridge,100.0,0.0075374261897187544
direct_qwen25_ridge,1000.0,0.008560965398655251
direct_qwen25_ridge,10000.0,0.004910743274528673
direct_qwen3_ridge,0.01,0.032060177085672104
direct_qwen3_ridge,0.1,0.032060498460802944
