model,variant,score,outcome,primary,rows,event_dates,spearman,date_block_ci_low,date_block_ci_high,date_block_probability_nonpositive,date_block_p_one_sided,issuer_block_ci_low,issuer_block_ci_high,issuer_block_probability_nonpositive,issuer_block_p_one_sided,within_date_rank_correlation,within_date_permutation_p_one_sided,configuration_order,date_block_bh_q_all_64,issuer_block_bh_q_all_64,primary_model_bh_q_within_variant,primary_model_issuer_bh_q_within_variant
qwen25_7b,prefixless,last_projection,abs_market_adjusted_return_h1,True,9335,137,-0.0040243307821411336,-0.028711372347341616,0.02088123344690456,0.6185,0.6186906546726637,-0.02591791190773027,0.017354099285614346,0.6455,0.6456771614192903,-0.0063924950261919165,0.7326336831584208,0,0.6711220660856013,0.699383641512577,0.6186906546726637,0.6456771614192903
qwen25_7b,prefixless,last_projection,abs_market_adjusted_return_h2,False,9271,136,-0.0011215912888264327,-0.026255391377994812,0.0225619930265689,0.5285,0.5287356321839081,-0.022920830853766203,0.01949243320142571,0.5445,0.544727636181909,-0.0002716000111616254,,1,0.593668078241581,0.6116240125551259,,
qwen25_7b,prefixless,last_projection,parkinson_expansion_h1,False,9304,137,0.007622006735334021,-0.015616150999955374,0.029146120887237156,0.264,0.26436781609195403,-0.015022270703505142,0.030806070390266938,0.2615,0.26186906546726635,-0.0008532483743206281,,2,0.34529673938540933,0.33519240379810095,,
qwen25_7b,prefixless,last_projection,abnormal_volume_h1,False,9304,137,0.0013340223607567017,-0.02424987485237436,0.025087625369384452,0.4595,0.45977011494252873,-0.021507644557587805,0.023998742345396055,0.4475,0.447776111944028,-0.004947210146115185,,3,0.5449127288207748,0.530697614155885,,
qwen25_7b,prefixless,last_cosine,abs_market_adjusted_return_h1,False,9335,137,-0.007856095643490456,-0.032640072622695145,0.016445840569752845,0.736,0.7361319340329835,-0.029367508152253818,0.013763142824334659,0.762,0.7621189405297352,-0.008980169043866532,,4,0.747816567906523,0.7742160665698897,,
qwen25_7b,prefixless,last_cosine,abs_market_adjusted_return_h2,False,9271,136,-0.004498458359618352,-0.028734198190396156,0.01998815291410357,0.641,0.6411794102948526,-0.026310521329051526,0.0160095242546709,0.6555,0.655672163918041,-0.0028081831763120987,,5,0.6816263999147968,0.699383641512577,,
qwen25_7b,prefixless,last_cosine,parkinson_expansion_h1,False,9304,137,0.000557126735703207,-0.022439959388821422,0.02258100482759367,0.4815,0.4817591204397801,-0.02212321582000756,0.02237717010386041,0.475,0.4752623688155922,-0.0038196618277567683,,6,0.5605924310571987,0.55303257462178,,
qwen25_7b,prefixless,last_cosine,abnormal_volume_h1,False,9304,137,-0.006547776381746753,-0.03153593794830075,0.01661891518614903,0.704,0.7041479260369815,-0.027964741851027354,0.01552033986097291,0.7215,0.7216391804097951,-0.009880375554426042,,7,0.7268623752639809,0.7449178636488207,,
qwen25_7b,prefixless,mean_projection,abs_market_adjusted_return_h1,False,9335,137,0.17545890117450663,0.1463110185656628,0.20346251690158426,0.0,0.0004997501249375312,0.15381959308456641,0.1973867942438619,0.0,0.0004997501249375312,0.16163721393143912,,8,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,prefixless,mean_projection,abs_market_adjusted_return_h2,False,9271,136,0.1668597531077194,0.14361593439417863,0.18950160506375954,0.0,0.0004997501249375312,0.14654545681021452,0.18850750501733837,0.0,0.0004997501249375312,0.15899809975622645,,9,0.0007615239999048095,0.0007438141394419069,,
