model,variant,score,outcome,rows,candidate_spearman,baseline_spearman,observed_delta_spearman,date_block_ci_low,date_block_ci_high,bootstrap_probability_candidate_not_better,issuer_block_ci_low,issuer_block_ci_high,issuer_bootstrap_probability_axis_not_better
qwen25_7b,prefixless,last_projection,abs_market_adjusted_return_h1,9335,-0.0040243307821411336,0.12792879134624335,-0.13195312212838448,-0.162426628990971,-0.10377735443525629,1.0,-0.16002580293200183,-0.10370057640399227,1.0
qwen25_7b,prefixless,last_projection,abs_market_adjusted_return_h2,9271,-0.0011215912888264327,0.11211758234939344,-0.11323917363821986,-0.14356365408648197,-0.08230540262954943,1.0,-0.14040473686574323,-0.08632656462764361,1.0
qwen25_7b,prefixless,last_projection,parkinson_expansion_h1,9304,0.007622006735334021,0.07372069246362985,-0.06609868572829583,-0.090714985034826,-0.04331923795111894,1.0,-0.09613588902204964,-0.03556173405906949,1.0
qwen25_7b,prefixless,last_projection,abnormal_volume_h1,9304,0.0013340223607567017,0.11865638068922663,-0.11732235832846992,-0.14716819104156134,-0.09134172767929244,1.0,-0.14623608759304124,-0.08902819580589814,1.0
qwen25_7b,prefixless,mean_projection,abs_market_adjusted_return_h1,9335,0.17545890117450663,0.12792879134624335,0.04753010982826328,0.022090104426919038,0.07240366135867113,0.0005,0.021850918328147798,0.07492661549850767,0.0
qwen25_7b,prefixless,mean_projection,abs_market_adjusted_return_h2,9271,0.1668597531077194,0.11211758234939344,0.05474217075832595,0.02955138103143062,0.079882575244557,0.0,0.02872885104252994,0.08011062817314224,0.0
qwen25_7b,prefixless,mean_projection,parkinson_expansion_h1,9304,0.18480064854286493,0.07372069246362985,0.11107995607923508,0.08912835575454751,0.13252409704108614,0.0,0.0843764971495904,0.13714287158473956,0.0
qwen25_7b,prefixless,mean_projection,abnormal_volume_h1,9304,0.2307684987950027,0.11865638068922663,0.11211211810577607,0.08830425276594529,0.13662961125691434,0.0,0.08624016703749933,0.13909879838259692,0.0
qwen25_7b,company_prefix,last_projection,abs_market_adjusted_return_h1,9335,-0.0004003224418247627,0.12792879134624335,-0.1283291137880681,-0.1582134700409664,-0.09925576910464272,1.0,-0.15646623487227437,-0.10060821208780026,1.0
qwen25_7b,company_prefix,last_projection,abs_market_adjusted_return_h2,9271,0.008540561870730268,0.11211758234939344,-0.10357702047866317,-0.13505519728779317,-0.07451069159257519,1.0,-0.130813179797903,-0.07635393763229105,1.0
qwen25_7b,company_prefix,last_projection,parkinson_expansion_h1,9304,0.020076892546406124,0.07372069246362985,-0.05364379991722372,-0.07709553815815483,-0.030281871207867257,1.0,-0.08149320882952885,-0.024889029745672205,1.0
qwen25_7b,company_prefix,last_projection,abnormal_volume_h1,9304,0.008464944405436827,0.11865638068922663,-0.1101914362837898,-0.13762910808308193,-0.08459483084825119,1.0,-0.1377639918577822,-0.0812639869255854,1.0
qwen25_7b,company_prefix,mean_projection,abs_market_adjusted_return_h1,9335,0.1868732591019667,0.12792879134624335,0.058944467755723345,0.03408456079359068,0.08389371860105245,0.0,0.032339604991063906,0.08521219249340771,0.0
qwen25_7b,company_prefix,mean_projection,abs_market_adjusted_return_h2,9271,0.17726147272884354,0.11211758234939344,0.0651438903794501,0.04099732531517119,0.09191296716379839,0.0,0.039325983398128546,0.0907008377687451,0.0
qwen25_7b,company_prefix,mean_projection,parkinson_expansion_h1,9304,0.20841659049267083,0.07372069246362985,0.13469589802904097,0.11078171055820385,0.15705099589519322,0.0,0.10888061433758436,0.1611365728028738,0.0
qwen25_7b,company_prefix,mean_projection,abnormal_volume_h1,9304,0.24798125143685942,0.11865638068922663,0.1293248707476328,0.10650576115606379,0.15463770166606056,0.0,0.1040512078605645,0.15441993319440248,0.0
qwen3_4b,prefixless,last_projection,abs_market_adjusted_return_h1,9335,0.11179985105761556,0.21166739782884153,-0.09986754677122597,-0.13470366903995845,-0.07066268138901925,1.0,-0.12716962987619385,-0.0738174034689612,1.0
