model,score,outcome,rows,candidate_spearman,baseline_spearman,observed_delta_spearman,date_block_ci_low,date_block_ci_high,bootstrap_probability_candidate_not_better,issuer_block_ci_low,issuer_block_ci_high,issuer_bootstrap_probability_prefix_not_better
qwen25_7b,last_projection,abs_market_adjusted_return_h1,9335,-0.0004003224418247627,-0.0040243307821411336,0.0036240083403163707,-0.01117147210333266,0.01813087940830824,0.32,-0.011570975383728428,0.018717443184462976,0.316
qwen25_7b,last_projection,abs_market_adjusted_return_h2,9271,0.008540561870730268,-0.0011215912888264327,0.009662153159556701,-0.0063310755259303395,0.026350160550748552,0.117,-0.006209742172093323,0.024270666856107993,0.1145
qwen25_7b,last_projection,parkinson_expansion_h1,9304,0.020076892546406124,0.007622006735334021,0.012454885811072104,-0.003763389136173912,0.029684825233776514,0.068,-0.0022107488606727616,0.02824221446229821,0.05
qwen25_7b,last_projection,abnormal_volume_h1,9304,0.008464944405436827,0.0013340223607567017,0.0071309220446801255,-0.007107941782631844,0.021487187004685916,0.156,-0.00839725602155088,0.0217781306499329,0.1945
qwen25_7b,mean_projection,abs_market_adjusted_return_h1,9335,0.1868732591019667,0.17545890117450663,0.011414357927460067,0.007730968883217215,0.014586715093956102,0.0,0.008623654672694594,0.014306072283166932,0.0
qwen25_7b,mean_projection,abs_market_adjusted_return_h2,9271,0.17726147272884354,0.1668597531077194,0.010401719621124156,0.007287780677942753,0.012877177205297007,0.0,0.007364071884733833,0.01346249732045764,0.0
qwen25_7b,mean_projection,parkinson_expansion_h1,9304,0.20841659049267083,0.18480064854286493,0.023615941949805902,0.020162520912202487,0.02632828379920436,0.0,0.02062816585478859,0.026444976125016614,0.0
qwen25_7b,mean_projection,abnormal_volume_h1,9304,0.24798125143685942,0.2307684987950027,0.017212752641856732,0.013699143390392769,0.020203814205260656,0.0,0.014318859175722067,0.020106007559154704,0.0
qwen3_4b,last_projection,abs_market_adjusted_return_h1,9335,0.10364484485446618,0.11179985105761556,-0.008155006203149379,-0.018304753640224714,0.003787466665038633,0.9105,-0.018454484904735356,0.0025314770879009247,0.9265
qwen3_4b,last_projection,abs_market_adjusted_return_h2,9271,0.08975167882410952,0.09855054896875844,-0.008798870144648918,-0.01826135331597171,0.0017156088134073955,0.952,-0.019641863550856235,0.0017173577086845241,0.944
qwen3_4b,last_projection,parkinson_expansion_h1,9304,0.2047624486719635,0.2024923619351218,0.0022700867368417033,-0.011538147398884244,0.017006003000777165,0.359,-0.008185396863145013,0.011647292934141401,0.3475
qwen3_4b,last_projection,abnormal_volume_h1,9304,0.15979660844447158,0.16613633354262447,-0.006339725098152893,-0.0165074104133169,0.005212341080166077,0.857,-0.016295230100377117,0.004096858571323442,0.8825
qwen3_4b,mean_projection,abs_market_adjusted_return_h1,9335,0.0722956933765715,0.04114185836856709,0.031153835008004414,0.026506405827411685,0.03543820082216973,0.0,0.02655935255508674,0.03574499093254889,0.0
qwen3_4b,mean_projection,abs_market_adjusted_return_h2,9271,0.050818977872729175,0.019601474529757662,0.031217503342971513,0.026994481245012664,0.035263838951924434,0.0,0.026863860885050342,0.035499950051117134,0.0
qwen3_4b,mean_projection,parkinson_expansion_h1,9304,0.27370326974601533,0.23962433225229998,0.03407893749371535,0.028553872707061126,0.03918987172628043,0.0,0.029616335893544243,0.03850585307995337,0.0
qwen3_4b,mean_projection,abnormal_volume_h1,9304,0.17155424754824136,0.13326939967874143,0.03828484786949993,0.03347350656998181,0.042551743503892236,0.0,0.03381124036459636,0.042720053186011436,0.0
