feature_set,feature_count,selected_alpha,r2_log,spearman,large_reaction_auc,top_decile_precision,top_decile_mean_return_lift,configuration_order
price_only,2,0.01,-0.6667769627162061,0.3515509154749309,0.8599259692187804,0.38461538461538464,2.5689453540032643,0
axis_last_qwen25_ridge,1,0.01,-0.15671579400314228,-0.002367576473259413,0.5136372491720241,0.0,0.5895457725761255,1
axis_last_qwen3_ridge,1,0.01,-0.16489828178594435,-0.04722486603420229,0.48188194038573934,0.05128205128205128,0.7561398414484679,2
axis_last_both_ridge,2,0.01,-0.1637932380573952,-0.03372554782442279,0.48392752776154296,0.05128205128205128,0.7766842401201361,3
axis_mean_qwen25_ridge,1,1000.0,-0.07539644720919325,0.18305618874140503,0.700759789596727,0.10256410256410256,0.9704771187416158,4
axis_mean_qwen3_ridge,1,0.01,-0.16241175529792473,-0.11706585854305362,0.2924215858172608,0.0,0.6136451865894874,5
axis_mean_both_ridge,2,1000.0,-0.07938917832131298,0.1580537964950173,0.6587765439314242,0.07692307692307693,0.98943957004672,6
price_plus_axis_last_qwen25,3,0.01,-0.6690269707869096,0.3456422241739916,0.8581726086109488,0.358974358974359,2.4769364929250846,7
price_plus_axis_last_qwen3,3,0.01,-0.6748341574526764,0.24422080263283805,0.8200857198519385,0.3076923076923077,2.4015587242299232,8
price_plus_axis_last_both,4,0.01,-0.6726854773582442,0.24725041180812818,0.8197934930839665,0.3076923076923077,2.4215320161845604,9
price_plus_axis_mean_qwen25,3,100.0,-0.4933229813156983,0.33654506650444965,0.8539840249366842,0.358974358974359,2.4201854153227464,10
price_plus_axis_mean_qwen3,3,0.01,-0.8194318455824208,0.3152747922163138,0.8032339762322228,0.3076923076923077,2.3846674072865928,11
price_plus_axis_mean_both,4,100.0,-0.6110017929088092,0.3329075704345687,0.8376193259302552,0.358974358974359,2.4529842725704647,12
direct_qwen25_ridge,1,1000.0,-0.12050920042480517,0.10665831658671747,0.5852815117864797,0.07692307692307693,1.465993769702872,13
direct_qwen3_ridge,1,1000.0,-0.07360941692190925,0.13996734583680778,0.5995519189557763,0.07692307692307693,0.9226353119407806,14
direct_both_ridge,2,1000.0,-0.06410681899956439,0.1478346325509549,0.6032534580167543,0.10256410256410256,0.9511085598001631,15
price_plus_direct_both,4,100.0,-0.4730611413178527,0.31180667573441967,0.831385154880187,0.3076923076923077,2.489798811997085,16
embedding_06b_ridge,64,1000.0,-0.0048630439712615825,0.24562197551706702,0.7490746152347556,0.1794871794871795,2.0502020164062156,17
embedding_8b_ridge,64,1000.0,0.03288759461739854,0.30617122674394764,0.8117085525034093,0.3076923076923077,2.530390576601593,18
price_plus_embedding_06b,66,1000.0,-0.3520270869391853,0.28910468470192613,0.8194038573933372,0.2564102564102564,2.280406262346687,19
price_plus_embedding_8b,66,1000.0,-0.23601837385532032,0.3270997515481252,0.8548607052406,0.3333333333333333,2.6047425717313373,20
price_embedding_8b_plus_axis_both,68,1000.0,-0.24028539636756552,0.3193379799871503,0.8512565751022794,0.358974358974359,2.76176794247512,21
price_embedding_8b_plus_axis_mean_both,68,1000.0,-0.21830112367275234,0.32951122134430577,0.849308396649133,0.358974358974359,2.684670977156235,22
